Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FieldmapKey01,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__1,acquisition-64dir_datatype-dwi_suffix-dwi,1,919,104.0,104.0,72.0,3e-06,0.1,0.00039,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__2,acquisition-64dir_datatype-dwi_suffix-dwi,2,861,104.0,104.0,72.0,4e-06,0.1,0.00041,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,,0,129.0,True,2.0,1.0,j-,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__3,acquisition-64dir_datatype-dwi_suffix-dwi,3,268,96.0,96.0,72.0,3e-06,0.094,0.00072,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,129.0,False,,0.75,j-,4.5,0.068,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__4,acquisition-64dir_datatype-dwi_suffix-dwi,4,37,104.0,104.0,72.0,3e-06,0.1,0.00039,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,129.0,True,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__5,acquisition-64dir_datatype-dwi_suffix-dwi,5,17,140.0,140.0,81.0,2e-06,0.089,0.00067,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,,0,129.0,False,,0.75,j-,4.1,0.093,1.714,1.714,1.7
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__6,acquisition-64dir_datatype-dwi_suffix-dwi,6,12,96.0,96.0,72.0,3e-06,0.094,0.00072,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,129.0,True,,0.75,j-,4.5,0.068,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__7,acquisition-64dir_datatype-dwi_suffix-dwi,7,9,96.0,96.0,72.0,3e-06,0.095,0.00074,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,129.0,False,,0.75,i,4.5,0.07,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__8,acquisition-64dir_datatype-dwi_suffix-dwi,8,8,104.0,104.0,72.0,4e-06,0.1,0.00041,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,,0,129.0,False,2.0,1.0,j-,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__9,acquisition-64dir_datatype-dwi_suffix-dwi,9,5,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,,,,,,,,,0,129.0,True,2.0,1.0,j-,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__10,acquisition-64dir_datatype-dwi_suffix-dwi,10,4,104.0,104.0,60.0,3e-06,0.1,0.00039,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,60,129.0,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,2.4
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__11,acquisition-64dir_datatype-dwi_suffix-dwi,11,3,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,,,,,,,,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__12,acquisition-64dir_datatype-dwi_suffix-dwi,12,2,96.0,96.0,72.0,3e-06,0.094,0.00072,,,90.0,,,,,,,,3.0,72,129.0,False,,0.75,j-,4.5,0.068,2.0,2.0,2.0
