Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__1,acquisition-64dir_datatype-dwi_suffix-dwi,1,928,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__2,acquisition-64dir_datatype-dwi_suffix-dwi,2,867,104.0,104.0,72.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,129.0,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__3,acquisition-64dir_datatype-dwi_suffix-dwi,3,271,96.0,96.0,72.0,3.2e-06,0.0938,0.00071998,90.0,,,,,,,,3.0,72,129.0,False,,0.75,j-,4.5,0.0683981,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__4,acquisition-64dir_datatype-dwi_suffix-dwi,4,37,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,72,129.0,True,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__5,acquisition-64dir_datatype-dwi_suffix-dwi,5,17,140.0,140.0,81.0,2.1e-06,0.089,0.000669999,90.0,,,,,,,,,0,129.0,False,,0.75,j-,4.1,0.0931298,1.714,1.714,1.7
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__6,acquisition-64dir_datatype-dwi_suffix-dwi,6,12,96.0,96.0,72.0,3.2e-06,0.0938,0.00071998,90.0,,,,,,,,3.0,72,129.0,True,,0.75,j-,4.5,0.0683981,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__7,acquisition-64dir_datatype-dwi_suffix-dwi,7,8,104.0,104.0,72.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,129.0,False,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__8,acquisition-64dir_datatype-dwi_suffix-dwi,8,8,96.0,96.0,72.0,3.2e-06,0.0946,0.000739978,90.0,,,,,,,,3.0,72,129.0,False,,0.75,i,4.5,0.0702979,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__9,acquisition-64dir_datatype-dwi_suffix-dwi,9,4,104.0,104.0,60.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,60,129.0,False,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,2.4
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__10,acquisition-64dir_datatype-dwi_suffix-dwi,10,2,96.0,96.0,72.0,3.2e-06,0.0938,0.00071998,90.0,,,,,,,,3.0,72,65.0,False,,0.75,j-,3.533,0.0683981,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__11,acquisition-64dir_datatype-dwi_suffix-dwi,11,1,104.0,104.0,3315.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__12,acquisition-64dir_datatype-dwi_suffix-dwi,12,1,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.0401697,1.827,1.827,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__13,acquisition-64dir_datatype-dwi_suffix-dwi,13,1,96.0,96.0,72.0,3.2e-06,0.0948,0.000739978,90.0,,,,,,,,3.0,72,129.0,False,,0.75,i,4.5,0.0702979,2.0,2.0,2.0
