Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FieldmapKey01,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,MultibandAccelerationFactor,NSliceTimes,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__1,acquisition-64dir_datatype-dwi_suffix-dwi,1,971,3.3E-06,0.1002,0.000389997,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,2.0,1.0,j-,3.32,0.0401697
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__2,acquisition-64dir_datatype-dwi_suffix-dwi,2,881,3.5E-06,0.1002,0.000414993,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,,0,2.0,1.0,j-,3.32,0.0427443
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__3,acquisition-64dir_datatype-dwi_suffix-dwi,3,280,3.2E-06,0.0938,0.00071998,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,,0.75,j-,4.5,0.0683981
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__4,acquisition-64dir_datatype-dwi_suffix-dwi,4,18,2.1E-06,0.089,0.000669999,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,,0,,0.75,j-,4.1,0.0931298
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__5,acquisition-64dir_datatype-dwi_suffix-dwi,5,8,3.2E-06,0.0946,0.000739978,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,,0.75,i,4.5,0.0702979
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__6,acquisition-64dir_datatype-dwi_suffix-dwi,6,6,3.2E-06,0.0938,0.00071998,,,90.0,,,,,,,,3.0,72,,0.75,j-,4.5,0.0683981
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__7,acquisition-64dir_datatype-dwi_suffix-dwi,7,5,3.5E-06,0.1002,0.000414993,,,90.0,,,,,,,,,0,2.0,1.0,j-,3.32,0.0427443
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__8,acquisition-64dir_datatype-dwi_suffix-dwi,8,4,3.3E-06,0.1002,0.000389997,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,60,2.0,1.0,j-,3.32,0.0401697
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__9,acquisition-64dir_datatype-dwi_suffix-dwi,9,2,3.2E-06,0.0938,0.00071998,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,,90.0,,,,,,,,3.0,72,,0.75,j-,4.5,0.0683981
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__10,acquisition-64dir_datatype-dwi_suffix-dwi,10,2,3.2E-06,0.0938,0.00071998,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,,0.75,j-,3.533,0.0683981
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__11,acquisition-64dir_datatype-dwi_suffix-dwi,11,1,3.3E-06,0.1002,0.000389997,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,,90.0,,,,,,,,3.0,72,2.0,1.0,j-,3.32,0.0401697
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__12,acquisition-64dir_datatype-dwi_suffix-dwi,12,1,3.2E-06,0.0948,0.000739978,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,,0.75,i,4.5,0.0702979
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__13,acquisition-64dir_datatype-dwi_suffix-dwi,13,1,3.2E-06,0.0946,0.000739978,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,,0.75,j-,4.5,0.0702979
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__14,acquisition-64dir_datatype-dwi_suffix-dwi,14,1,3.5E-06,0.1002,0.000414993,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,,90.0,,,,,,,,,0,2.0,1.0,j-,3.32,0.0427443
