Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__1,acquisition-64dir_datatype-dwi_suffix-dwi,1,928,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__2,acquisition-64dir_datatype-dwi_suffix-dwi,2,867,104.0,104.0,72.0,0.1,0.00041,90.0,False,,0,129.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__3,acquisition-64dir_datatype-dwi_suffix-dwi,3,271,96.0,96.0,72.0,0.094,0.00072,90.0,False,3.0,72,129.0,False,,0.75,j-,4.5,0.068,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__4,acquisition-64dir_datatype-dwi_suffix-dwi,4,37,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,129.0,True,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__5,acquisition-64dir_datatype-dwi_suffix-dwi,5,17,140.0,140.0,81.0,0.089,0.00067,90.0,False,,0,129.0,False,,0.75,j-,4.1,0.093,False,1.714,1.714,1.7
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__6,acquisition-64dir_datatype-dwi_suffix-dwi,6,12,96.0,96.0,72.0,0.094,0.00072,90.0,False,3.0,72,129.0,True,,0.75,j-,4.5,0.068,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__7,acquisition-64dir_datatype-dwi_suffix-dwi,7,9,96.0,96.0,72.0,0.095,0.00074,90.0,False,3.0,72,129.0,False,,0.75,i,4.5,0.07,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTOther_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__8,acquisition-64dir_datatype-dwi_suffix-dwi,8,8,104.0,104.0,72.0,0.1,0.00041,90.0,False,,0,129.0,False,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTDim3SizeVoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__9,acquisition-64dir_datatype-dwi_suffix-dwi,9,4,104.0,104.0,60.0,0.1,0.00039,90.0,False,3.0,60,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,2.4
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeNumVolumesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__10,acquisition-64dir_datatype-dwi_suffix-dwi,10,2,96.0,96.0,72.0,0.094,0.00072,90.0,False,3.0,72,65.0,False,,0.75,j-,3.533,0.068,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__11,acquisition-64dir_datatype-dwi_suffix-dwi,11,1,104.0,104.0,6009.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__12,acquisition-64dir_datatype-dwi_suffix-dwi,12,1,104.0,104.0,3315.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTVoxelSizeDim1VoxelSizeDim2_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__13,acquisition-64dir_datatype-dwi_suffix-dwi,13,1,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.827,1.827,1.8
,,,acquisition-64dirVARIANTNumVolumes_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__14,acquisition-64dir_datatype-dwi_suffix-dwi,14,1,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,116.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__15,acquisition-64dir_datatype-dwi_suffix-dwi,15,1,104.0,104.0,564.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__16,acquisition-64dir_datatype-dwi_suffix-dwi,16,1,104.0,104.0,8235.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
