Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T1w__1,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T1w,1,1157,224,320,320,0.003,,8,False,1157,anat,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w__1,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w,1,913,224,320,320,0.565,,120,False,913,anat,,0,1.0,False,2.0,1.0,,3.2,,False,0.8,0.8,0.8
,,,,acquisition-VNavNorm_datatype-anat_session-HBNsiteCBIC_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_session-HBNsiteCBIC_suffix-T1w,1,911,176,256,256,0.003,,8,False,911,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_session-HBNsiteCBIC_suffix-T2w__1,acquisition-VNavNorm_datatype-anat_session-HBNsiteCBIC_suffix-T2w,1,835,176,256,256,0.565,,120,False,835,anat,,0,1.0,False,2.0,1.0,,3.2,,False,1.0,1.0,1.0
,,,,datatype-anat_session-HBNsiteSI_suffix-T1w__1,datatype-anat_session-HBNsiteSI_suffix-T1w,1,343,176,256,256,0.002,,7,False,343,anat,,0,1.0,False,2.0,1.0,,2.73,,False,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_session-HBNsiteCUNY_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_session-HBNsiteCUNY_suffix-T1w,1,88,176,256,256,0.003,,8,False,88,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_session-HBNsiteCUNY_suffix-T2w__1,acquisition-VNavNorm_datatype-anat_session-HBNsiteCUNY_suffix-T2w,1,77,176,256,256,0.565,,120,False,77,anat,,0,1.0,False,2.0,1.0,,3.2,,False,1.0,1.0,1.0
,,,,acquisition-HCPVARIANTEchoTime_datatype-anat_session-HBNsiteRU_suffix-T2w__1,acquisition-HCPVARIANTEchoTime_datatype-anat_session-HBNsiteRU_suffix-T2w,1,76,224,320,320,0.567,,120,False,76,anat,,0,1.0,False,2.0,1.0,,3.2,,False,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_session-HBNsiteCBIC_suffix-T1w__1,acquisition-HCP_datatype-anat_session-HBNsiteCBIC_suffix-T1w,1,57,224,320,320,0.003,,8,False,57,anat,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_session-HBNsiteCBIC_suffix-T2w__1,acquisition-HCP_datatype-anat_session-HBNsiteCBIC_suffix-T2w,1,44,256,320,320,0.564,,120,False,44,anat,,0,1.0,False,2.0,1.0,,3.2,,False,0.7,0.7,0.7
