Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T1w__1,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T1w,1,1157,224,320,320,0.003,,8,False,1159,anat,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_session-HBNsiteRU_suffix-T1w,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T1w__2,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T1w,2,1,224,320,320,0.003,,8,False,1159,anat,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.769,0.769
,,,acquisition-HCPVARIANTDim1SizeDim3Size_datatype-anat_session-HBNsiteRU_suffix-T1w,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T1w__3,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T1w,3,1,320,320,224,0.003,,8,False,1159,anat,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w__1,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w,1,913,224,320,320,0.565,,120,False,992,anat,,0,1.0,False,2.0,1.0,,3.2,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTEchoTime_datatype-anat_session-HBNsiteRU_suffix-T2w,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w__2,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w,2,76,224,320,320,0.5670000000000001,,120,False,992,anat,,0,1.0,False,2.0,1.0,,3.2,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTEchoTimeDim1SizeDim3Size_datatype-anat_session-HBNsiteRU_suffix-T2w,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w__3,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w,3,2,320,320,224,0.5670000000000001,,120,False,992,anat,,0,1.0,False,2.0,1.0,,3.2,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTEchoTimeDim1Size_datatype-anat_session-HBNsiteRU_suffix-T2w,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w__4,acquisition-HCP_datatype-anat_session-HBNsiteRU_suffix-T2w,4,1,202,320,320,0.564,,120,False,992,anat,,0,1.0,False,2.0,1.0,,3.2,,False,0.8,0.8,0.8
,,,,acquisition-VNavNorm_datatype-anat_session-HBNsiteCBIC_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_session-HBNsiteCBIC_suffix-T1w,1,912,176,256,256,0.003,,8,False,912,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_session-HBNsiteCBIC_suffix-T2w__1,acquisition-VNavNorm_datatype-anat_session-HBNsiteCBIC_suffix-T2w,1,835,176,256,256,0.565,,120,False,835,anat,,0,1.0,False,2.0,1.0,,3.2,,False,1.0,1.0,1.0
,,,,datatype-anat_session-HBNsiteSI_suffix-T1w__1,datatype-anat_session-HBNsiteSI_suffix-T1w,1,343,176,256,256,0.002,,7,False,343,anat,,0,1.0,False,2.0,1.0,,2.73,,False,1.0,1.0,1.0
