Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,715,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,143,256,256,138,0.0042,,15,False,173,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w__2,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,2,28,256,256,118,0.0042,,15,False,173,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w__3,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,3,1,256,256,84,0.0042,,15,False,173,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w__4,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,4,1,256,256,105,0.0042,,15,False,173,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,,acquisition-VARIANTObliquity_datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,acquisition-VARIANTObliquity_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,14,256,256,152,0.0042,,15,False,14,anat,0,1.0,False,,,0.011,,False,0.9375,0.9375,1.2
,,,,datatype-dwi_run-1_suffix-dwi__1,datatype-dwi_run-1_suffix-dwi,1,512,256,256,47,0.0948,0.0008,90,False,512,dwi,0,16.0,True,2.0,j,11.6,0.1938,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-1_suffix-dwi,1,152,256,256,49,0.102,0.0008,90,False,152,dwi,0,16.0,True,2.0,i-,11.6,0.19992,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTEffectiveEchoSpacingPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTEffectiveEchoSpacingPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-1_suffix-dwi,1,104,256,256,43,0.0908,0.0007,90,False,104,dwi,0,16.0,True,2.0,i-,11.6,0.1734,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTDim3SizeObliquity_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTDim3SizeObliquity_datatype-dwi_run-1_suffix-dwi,1,7,256,256,45,0.0932,0.0008,90,False,7,dwi,0,16.0,False,2.0,j,11.6,0.1938,False,0.9375,0.9375,3.0
,,,,datatype-dwi_run-2_suffix-dwi__1,datatype-dwi_run-2_suffix-dwi,1,7,256,256,47,0.1002,0.0008,90,False,7,dwi,0,16.0,True,2.0,j,11.6,0.1989,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTTotalReadoutTimeDim3Size_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTTotalReadoutTimeDim3Size_datatype-dwi_run-1_suffix-dwi,1,6,256,256,54,0.1016,0.0008,90,False,6,dwi,0,16.0,True,2.0,j,11.6,0.1989,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTRepetitionTimeTotalReadoutTimeDim3SizeNumVolumesObliquity_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTRepetitionTimeTotalReadoutTimeDim3SizeNumVolumesObliquity_datatype-dwi_run-1_suffix-dwi,1,3,256,256,38,0.0965,0.0008,90,False,3,dwi,0,18.0,False,2.0,j,10.0,0.1989,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-2_suffix-dwi__1,acquisition-VARIANTPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-2_suffix-dwi,1,2,256,256,49,0.1026,0.0008,90,False,2,dwi,0,16.0,True,2.0,i-,11.6,0.19992,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTTotalReadoutTimeDim3Size_datatype-dwi_run-2_suffix-dwi__1,acquisition-VARIANTTotalReadoutTimeDim3Size_datatype-dwi_run-2_suffix-dwi,1,2,256,256,45,0.0978,0.0008,90,False,2,dwi,0,16.0,True,2.0,j,11.6,0.1938,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTEffectiveEchoSpacingPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-2_suffix-dwi__1,acquisition-VARIANTEffectiveEchoSpacingPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-2_suffix-dwi,1,1,256,256,43,0.095,0.0007,90,False,1,dwi,0,16.0,True,2.0,i-,11.6,0.1734,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTEffectiveEchoSpacingPhaseEncodingDirectionTotalReadoutTime_datatype-dwi_run-2_suffix-dwi__1,acquisition-VARIANTEffectiveEchoSpacingPhaseEncodingDirectionTotalReadoutTime_datatype-dwi_run-2_suffix-dwi,1,1,256,256,47,0.096,0.0007,90,False,1,dwi,0,16.0,True,2.0,i-,11.6,0.1734,False,0.9375,0.9375,3.0
,,,,acquisition-VARIANTRepetitionTimeDim3SizeObliquity_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTRepetitionTimeDim3SizeObliquity_datatype-dwi_run-1_suffix-dwi,1,1,256,256,39,0.0932,0.0008,90,False,1,dwi,0,16.0,False,2.0,j,10.0,0.1938,False,0.9375,0.9375,3.0
,,,,datatype-func_run-1_suffix-bold_task-rest__1,datatype-func_run-1_suffix-bold_task-rest,1,526,128,128,26,0.03,0.000864,80,False,526,func,26,180.0,True,2.0,j,2.0,0.109728,False,1.875,1.875,4.5
,,,,acquisition-VARIANTEffectiveEchoSpacingTotalReadoutTime_datatype-func_run-1_suffix-bold_task-rest__1,acquisition-VARIANTEffectiveEchoSpacingTotalReadoutTime_datatype-func_run-1_suffix-bold_task-rest,1,253,128,128,26,0.03,0.000584,80,False,253,func,26,180.0,True,2.0,j,2.0,0.074168,False,1.875,1.875,4.5
,,,,datatype-func_run-2_suffix-bold_task-rest__1,datatype-func_run-2_suffix-bold_task-rest,1,21,128,128,26,0.03,0.000864,80,False,21,func,26,180.0,True,2.0,j,2.0,0.109728,False,1.875,1.875,4.5
,,,,acquisition-VARIANTObliquity_datatype-func_run-1_suffix-bold_task-rest__1,acquisition-VARIANTObliquity_datatype-func_run-1_suffix-bold_task-rest,1,7,128,128,26,0.03,0.000864,80,False,7,func,26,180.0,False,2.0,j,2.0,0.109728,False,1.875,1.875,4.5
,,,,acquisition-VARIANTEffectiveEchoSpacingTotalReadoutTime_datatype-func_run-2_suffix-bold_task-rest__1,acquisition-VARIANTEffectiveEchoSpacingTotalReadoutTime_datatype-func_run-2_suffix-bold_task-rest,1,6,128,128,26,0.03,0.000524,80,False,6,func,26,180.0,True,2.0,j,2.0,0.066548,False,1.875,1.875,4.5
,,,,acquisition-VARIANTRepetitionTimeDim3Size_datatype-func_run-1_suffix-bold_task-rest__1,acquisition-VARIANTRepetitionTimeDim3Size_datatype-func_run-1_suffix-bold_task-rest,1,3,128,128,33,0.03,0.000864,80,False,4,func,33,180.0,True,2.0,j,2.539,0.109728,False,1.875,1.875,4.5
,,,,acquisition-VARIANTRepetitionTimeDim3Size_datatype-func_run-1_suffix-bold_task-rest__2,acquisition-VARIANTRepetitionTimeDim3Size_datatype-func_run-1_suffix-bold_task-rest,2,1,128,128,36,0.03,0.000864,80,False,4,func,36,180.0,True,2.0,j,2.806,0.109728,False,1.875,1.875,4.5
,,,,acquisition-VARIANTNumVolumes_datatype-func_run-1_suffix-bold_task-rest__1,acquisition-VARIANTNumVolumes_datatype-func_run-1_suffix-bold_task-rest,1,2,128,128,26,0.03,0.000864,80,False,3,func,26,185.0,True,2.0,j,2.0,0.109728,False,1.875,1.875,4.5
,,,,acquisition-VARIANTNumVolumes_datatype-func_run-1_suffix-bold_task-rest__2,acquisition-VARIANTNumVolumes_datatype-func_run-1_suffix-bold_task-rest,2,1,128,128,26,0.03,0.000864,80,False,3,func,26,98.0,True,2.0,j,2.0,0.109728,False,1.875,1.875,4.5
,,,,acquisition-VARIANTRepetitionTime_datatype-func_run-1_suffix-bold_task-rest__1,acquisition-VARIANTRepetitionTime_datatype-func_run-1_suffix-bold_task-rest,1,3,128,128,26,0.03,0.000864,80,False,3,func,26,180.0,True,2.0,j,2.077,0.109728,False,1.875,1.875,4.5
,,,,datatype-func_run-3_suffix-bold_task-rest__1,datatype-func_run-3_suffix-bold_task-rest,1,2,128,128,26,0.03,0.000584,80,False,2,func,26,180.0,True,2.0,j,2.0,0.074168,False,1.875,1.875,4.5
