Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-refaced_datatype-anat_suffix-T1w__1,acquisition-refaced_datatype-anat_suffix-T1w,1,1597,192,256,160,0.00351,,9,False,1597,anat,0,1.0,False,2.0,1.0,,1.81,,False,0.938,0.938,1.0
,,,,acquisition-refacedVARIANTObliquity_datatype-anat_suffix-T1w__1,acquisition-refacedVARIANTObliquity_datatype-anat_suffix-T1w,1,3,192,256,160,0.00351,,9,False,3,anat,0,1.0,True,2.0,1.0,,1.81,,False,0.938,0.938,1.0
,,,,acquisition-refacedVARIANTEchoTimeRepetitionTime_datatype-anat_suffix-T1w__1,acquisition-refacedVARIANTEchoTimeRepetitionTime_datatype-anat_suffix-T1w,1,1,192,256,160,0.004,,9,False,1,anat,0,1.0,False,2.0,1.0,,1.85,,False,0.938,0.938,1.0
,,,,datatype-dwi_run-1_suffix-dwi__1,datatype-dwi_run-1_suffix-dwi,1,1388,128,128,70,0.082,0.000267,90,True,1388,dwi,70,35.0,False,3.0,0.75,j-,8.1,0.034,False,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__1,datatype-dwi_run-2_suffix-dwi,1,1379,128,128,70,0.082,0.000267,90,True,1379,dwi,70,36.0,False,3.0,0.75,j-,8.1,0.034,False,1.875,1.875,2.0
,,,,acquisition-VARIANTNoFmap_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTNoFmap_datatype-dwi_run-1_suffix-dwi,1,25,128,128,70,0.082,0.000267,90,False,25,dwi,70,35.0,False,3.0,0.75,j-,8.1,0.034,False,1.875,1.875,2.0
,,,,acquisition-VARIANTNoFmap_datatype-dwi_run-2_suffix-dwi__1,acquisition-VARIANTNoFmap_datatype-dwi_run-2_suffix-dwi,1,24,128,128,70,0.082,0.000267,90,False,24,dwi,70,36.0,False,3.0,0.75,j-,8.1,0.034,False,1.875,1.875,2.0
,,,,acquisition-VARIANTRepetitionTime_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTRepetitionTime_datatype-dwi_run-1_suffix-dwi,1,6,128,128,70,0.082,0.000267,90,True,9,dwi,70,35.0,False,3.0,0.75,j-,9.0,0.034,False,1.875,1.875,2.0
,,,,acquisition-VARIANTRepetitionTime_datatype-dwi_run-1_suffix-dwi__2,acquisition-VARIANTRepetitionTime_datatype-dwi_run-1_suffix-dwi,2,3,128,128,70,0.082,0.000267,90,True,9,dwi,70,35.0,False,3.0,0.75,j-,9.8,0.034,False,1.875,1.875,2.0
,,,,acquisition-VARIANTRepetitionTime_datatype-dwi_run-2_suffix-dwi__1,acquisition-VARIANTRepetitionTime_datatype-dwi_run-2_suffix-dwi,1,7,128,128,70,0.082,0.000267,90,True,8,dwi,70,36.0,False,3.0,0.75,j-,9.0,0.034,False,1.875,1.875,2.0
,,,,acquisition-VARIANTRepetitionTime_datatype-dwi_run-2_suffix-dwi__2,acquisition-VARIANTRepetitionTime_datatype-dwi_run-2_suffix-dwi,2,1,128,128,70,0.082,0.000267,90,True,8,dwi,70,36.0,False,3.0,0.75,j-,9.8,0.034,False,1.875,1.875,2.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-dwi_run-1_suffix-dwi,1,2,128,128,46,0.082,0.000267,90,True,2,dwi,46,35.0,False,3.0,0.75,j-,8.1,0.034,False,1.875,1.875,3.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-dwi_run-2_suffix-dwi__1,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-dwi_run-2_suffix-dwi,1,2,128,128,46,0.082,0.000267,90,True,2,dwi,46,36.0,False,3.0,0.75,j-,8.1,0.034,False,1.875,1.875,3.0
,,,,acquisition-VARIANTEchoTimeEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTEchoTimeEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-dwi_run-1_suffix-dwi,1,1,128,128,70,0.102,0.0008,90,True,1,dwi,70,35.0,False,3.0,0.75,j-,12.3,0.102,False,1.875,1.875,2.0
,,,,acquisition-VARIANTObliquity_datatype-dwi_run-1_suffix-dwi__1,acquisition-VARIANTObliquity_datatype-dwi_run-1_suffix-dwi,1,1,128,128,70,0.082,0.000267,90,True,1,dwi,70,35.0,True,3.0,0.75,j-,8.1,0.034,False,1.875,1.875,2.0
,,,,acquisition-VARIANTObliquity_datatype-dwi_run-2_suffix-dwi__1,acquisition-VARIANTObliquity_datatype-dwi_run-2_suffix-dwi,1,1,128,128,70,0.082,0.000267,90,True,1,dwi,70,36.0,True,3.0,0.75,j-,8.1,0.034,False,1.875,1.875,2.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,1504,64,64,44,0.003,,60,False,1504,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,1504,64,64,44,0.005,,60,False,1504,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.75,3.75,4.0
,,,,datatype-fmap_fmap-phase1_suffix-phase1__1,datatype-fmap_fmap-phase1_suffix-phase1,1,1504,64,64,44,0.003,,60,False,1504,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.75,3.75,4.0
