Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-refaced_datatype-anat_suffix-T1w__1,acquisition-refaced_datatype-anat_suffix-T1w,1,1597,192,256,160,0.00351,,9,FALSE,1601,anat,0,1.0,FALSE,2.0,1.0,,1.81,,FALSE,0.938,0.938,1.0
,,,acquisition-refacedVARIANTObliquity_datatype-anat_suffix-T1w,acquisition-refaced_datatype-anat_suffix-T1w__2,acquisition-refaced_datatype-anat_suffix-T1w,2,3,192,256,160,0.00351,,9,FALSE,1601,anat,0,1.0,TRUE,2.0,1.0,,1.81,,FALSE,0.938,0.938,1.0
,,,acquisition-refacedVARIANTRepetitionTime_datatype-anat_suffix-T1w,acquisition-refaced_datatype-anat_suffix-T1w__3,acquisition-refaced_datatype-anat_suffix-T1w,3,1,192,256,160,0.004,,9,FALSE,1601,anat,0,1.0,FALSE,2.0,1.0,,1.85,,FALSE,0.938,0.938,1.0
,,,,datatype-dwi_run-1_suffix-dwi__1,datatype-dwi_run-1_suffix-dwi,1,1397,128,128,70,0.082,0.000267,90,TRUE,1428,dwi,70,35.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,acquisition-VARIANTNoFmap_datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-1_suffix-dwi__2,datatype-dwi_run-1_suffix-dwi,2,26,128,128,70,0.082,0.000267,90,FALSE,1428,dwi,70,35.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-1_suffix-dwi__3,datatype-dwi_run-1_suffix-dwi,3,2,128,128,46,0.082,0.000267,90,TRUE,1428,dwi,46,35.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,3.0
,,,acquisition-VARIANTRepetitionTime_datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-1_suffix-dwi__4,datatype-dwi_run-1_suffix-dwi,4,1,128,128,70,0.102,0.0008,90,TRUE,1428,dwi,70,35.0,FALSE,3.0,0.75,j-,12.3,0.102,FALSE,1.875,1.875,2.0
,,,acquisition-VARIANTObliquity_datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-1_suffix-dwi__5,datatype-dwi_run-1_suffix-dwi,5,1,128,128,70,0.082,0.000267,90,TRUE,1428,dwi,70,35.0,TRUE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,acquisition-VARIANTNumVolumes_datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-1_suffix-dwi__6,datatype-dwi_run-1_suffix-dwi,6,1,128,128,70,0.082,0.000267,90,TRUE,1428,dwi,70,33.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__1,datatype-dwi_run-2_suffix-dwi,1,1388,128,128,70,0.082,0.000267,90,TRUE,1416,dwi,70,36.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,acquisition-VARIANTNoFmap_datatype-dwi_run-2_suffix-dwi,datatype-dwi_run-2_suffix-dwi__2,datatype-dwi_run-2_suffix-dwi,2,24,128,128,70,0.082,0.000267,90,FALSE,1416,dwi,70,36.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-dwi_run-2_suffix-dwi,datatype-dwi_run-2_suffix-dwi__3,datatype-dwi_run-2_suffix-dwi,3,2,128,128,46,0.082,0.000267,90,TRUE,1416,dwi,46,36.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,3.0
,,,acquisition-VARIANTObliquity_datatype-dwi_run-2_suffix-dwi,datatype-dwi_run-2_suffix-dwi__4,datatype-dwi_run-2_suffix-dwi,4,1,128,128,70,0.082,0.000267,90,TRUE,1416,dwi,70,36.0,TRUE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,acquisition-VARIANTNumVolumesNoFmap_datatype-dwi_run-2_suffix-dwi,datatype-dwi_run-2_suffix-dwi__5,datatype-dwi_run-2_suffix-dwi,5,1,128,128,70,0.082,0.000267,90,FALSE,1416,dwi,70,32.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,1504,64,64,44,0.003,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.75,3.75,4.0
,,,acquisition-VARIANTUnused_datatype-fmap_fmap-magnitude1_suffix-magnitude1,datatype-fmap_fmap-magnitude1_suffix-magnitude1__2,datatype-fmap_fmap-magnitude1_suffix-magnitude1,2,4,64,64,44,0.003,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,FALSE,3.75,3.75,4.0
,,,acquisition-VARIANTVoxelSizeDim3_datatype-fmap_fmap-magnitude1_suffix-magnitude1,datatype-fmap_fmap-magnitude1_suffix-magnitude1__3,datatype-fmap_fmap-magnitude1_suffix-magnitude1,3,2,64,64,46,0.003,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.75,3.75,3.0
