Notes,ManualCheck,RenameKeyGroup,MergeInto,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,IntendedForKey07,NSliceTimes,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime
dominant group,,,,acquisition-100_datatype-func_suffix-bold_task-rest,1,72,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,,1,j-,3,0.0346501
no field map,1,,,acquisition-100_datatype-func_suffix-bold_task-rest,2,2,,0.032,0.000550002,,90,,,,,,,,,46,,1,j-,3,0.0346501
dwell time,,,,acquisition-100_datatype-func_suffix-bold_task-rest,3,3,3.8E-06,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,,1,j-,3,0.0346501
dominant group,,,,acquisition-gre_suffix-asl,1,179,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4,0.0379995
tr,,,,acquisition-gre_suffix-asl,2,1,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4.34,0.0379995
??,1,,,acquisition-gre_suffix-asl,3,1,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,59,,,,,,,,,20,2,0.75,j-,4,0.0379995
tr,,,,acquisition-gre_suffix-asl,4,1,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4.15,0.0379995
tr,,,,acquisition-gre_suffix-asl,5,1,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4.11,0.0379995
dwell time,,,,acquisition-gre_suffix-asl,6,2,2E-06,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4,0.0379995
no field map,1,,,acquisition-gre_suffix-asl,7,2,,0.015,0.000399995,,90,,,,,,,,,20,2,0.75,j-,4,0.0379995
dominant group,,,,acquisition-refaced_datatype-anat_suffix-T1w,1,1568,,0.00351,,,9,,,,,,,,,0,2,1,,1.81,
dwell time,,,,acquisition-refaced_datatype-anat_suffix-T1w,2,30,1.5E-05,0.00351,,,9,,,,,,,,,0,2,1,,1.81,
